window_start,market,entry_ts,side,prob_at_entry,prob_favorite,entry_price,remaining_s,spread,spread_pct,bid_depth,ask_depth,total_depth,imbalance,latency_ms,outcome,won,pnl
2026-02-04T23:15:00,BTC15m,2026-02-04T23:27:19.487000,UP,0.9550,0.9550,0.9550,160.5,0.0100,1.05,38324,24504,62827,0.2200,304,UP,YES,+0.0450
2026-02-04T23:30:00,BTC15m,2026-02-04T23:41:20.611000,UP,0.9550,0.9550,0.9550,219.4,0.0100,1.05,64442,31322,95764,0.3458,165,UP,YES,+0.0450
2026-02-04T23:45:00,BTC15m,2026-02-04T23:56:00.450000,DOWN,0.0040,0.9960,0.9960,239.5,0.0020,0.20,21719,57362,79081,-0.4507,162,DOWN,YES,+0.0040
2026-02-05T00:00:00,BTC15m,2026-02-05T00:11:17.728000,UP,0.9550,0.9550,0.9550,222.3,0.0100,1.05,93713,31152,124865,0.5010,160,UP,YES,+0.0450
2026-02-05T00:30:00,BTC15m,2026-02-05T00:44:27.429000,DOWN,0.0450,0.9550,0.9550,32.6,0.0100,1.05,19010,42605,61615,-0.3829,155,DOWN,YES,+0.0450
2026-02-05T00:45:00,BTC15m,2026-02-05T00:57:04.966000,DOWN,0.0450,0.9550,0.9550,175.0,0.0100,1.05,25474,65768,91242,-0.4416,252,DOWN,YES,+0.0450
2026-02-05T01:00:00,BTC15m,2026-02-05T01:14:00.077000,DOWN,0.0250,0.9750,0.9750,59.9,0.0100,1.03,23251,24405,47656,-0.0242,159,DOWN,YES,+0.0250
2026-02-05T01:15:00,BTC15m,2026-02-05T01:26:00.383000,UP,0.9650,0.9650,0.9650,239.6,0.0100,1.04,43302,22793,66095,0.3103,176,UP,YES,+0.0350
2026-02-05T01:30:00,BTC15m,2026-02-05T01:41:54.282000,UP,0.9550,0.9550,0.9550,185.7,0.0100,1.05,34942,25774,60717,0.1510,159,UP,YES,+0.0450
2026-02-05T01:45:00,BTC15m,2026-02-05T01:56:00.355000,DOWN,0.0150,0.9850,0.9850,239.6,0.0100,1.02,11200,21538,32738,-0.3158,155,DOWN,YES,+0.0150
2026-02-05T02:15:00,BTC15m,2026-02-05T02:26:00.995000,DOWN,0.0150,0.9850,0.9850,239.0,0.0100,1.02,12514,18064,30579,-0.1815,197,DOWN,YES,+0.0150
2026-02-05T02:30:00,BTC15m,2026-02-05T02:41:00.989000,UP,0.9750,0.9750,0.9750,239.0,0.0100,1.03,77781,20122,97903,0.5889,206,UP,YES,+0.0250
2026-02-05T02:45:00,BTC15m,2026-02-05T02:56:00.030000,DOWN,0.0250,0.9750,0.9750,240.0,0.0100,1.03,19554,46727,66281,-0.4100,163,DOWN,YES,+0.0250
2026-02-05T03:15:00,BTC15m,2026-02-05T03:28:26.132000,DOWN,0.0500,0.9500,0.9500,93.9,0.0200,2.11,20347,50138,70486,-0.4226,158,DOWN,YES,+0.0500
2026-02-05T03:30:00,BTC15m,2026-02-05T03:41:00.226000,UP,0.9850,0.9850,0.9850,239.8,0.0100,1.02,82116,12232,94348,0.7407,158,UP,YES,+0.0150
2026-02-05T03:45:00,BTC15m,2026-02-05T03:59:28.145000,UP,0.9750,0.9750,0.9750,31.9,0.0100,1.03,8709,8652,17361,0.0033,176,UP,YES,+0.0250
2026-02-05T04:00:00,BTC15m,2026-02-05T04:12:20.704000,UP,0.9500,0.9500,0.9500,159.3,0.0200,2.11,90728,45552,136280,0.3315,182,UP,YES,+0.0500
2026-02-05T04:15:00,BTC15m,2026-02-05T04:26:00.381000,UP,0.9850,0.9850,0.9850,239.6,0.0100,1.02,77467,14803,92270,0.6791,158,UP,YES,+0.0150
2026-02-05T04:30:00,BTC15m,2026-02-05T04:41:00.837000,DOWN,0.0150,0.9850,0.9850,239.2,0.0100,1.02,15223,52579,67802,-0.5510,170,DOWN,YES,+0.0150
2026-02-05T04:45:00,BTC15m,2026-02-05T04:56:00.591000,DOWN,0.0150,0.9850,0.9850,239.4,0.0100,1.02,4293,65698,69991,-0.8773,234,DOWN,YES,+0.0150
2026-02-05T05:00:00,BTC15m,2026-02-05T05:11:41.234000,UP,0.9550,0.9550,0.9550,198.8,0.0100,1.05,62775,25045,87820,0.4296,152,UP,YES,+0.0450
2026-02-05T05:15:00,BTC15m,2026-02-05T05:26:00.633000,UP,0.9750,0.9750,0.9750,239.4,0.0100,1.03,61095,23696,84791,0.4411,189,UP,YES,+0.0250
2026-02-05T05:45:00,BTC15m,2026-02-05T05:59:08.283000,DOWN,0.0250,0.9750,0.9750,51.7,0.0100,1.03,17123,17401,34523,-0.0081,151,DOWN,YES,+0.0250
2026-02-05T06:00:00,BTC15m,2026-02-05T06:11:00.952000,UP,0.9850,0.9850,0.9850,239.0,0.0100,1.02,53067,10495,63562,0.6698,228,UP,YES,+0.0150
2026-02-05T06:15:00,BTC15m,2026-02-05T06:27:12.139000,DOWN,0.0450,0.9550,0.9550,167.9,0.0100,1.05,35857,67325,103182,-0.3050,181,DOWN,YES,+0.0450
2026-02-05T06:30:00,BTC15m,2026-02-05T06:41:46.135000,DOWN,0.0450,0.9550,0.9550,193.9,0.0100,1.05,25922,45045,70966,-0.2695,153,DOWN,YES,+0.0450
2026-02-05T06:45:00,BTC15m,2026-02-05T06:56:00.961000,UP,0.9550,0.9550,0.9550,239.0,0.0100,1.05,45029,25235,70264,0.2817,232,UP,YES,+0.0450
2026-02-05T07:00:00,BTC15m,2026-02-05T07:11:17.994000,DOWN,0.0350,0.9650,0.9650,222.0,0.0100,1.04,42115,43219,85335,-0.0129,222,DOWN,YES,+0.0350
