window_start,market,side,entry_price,original_outcome,original_won,original_pnl,exit_triggered,exit_action,exit_reason,exit_price,defense_pnl,defense_saved,flip_triggered,flip_side,flip_pnl
2026-02-04T23:15:00,BTC15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-04T23:30:00,BTC15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-04T23:45:00,BTC15m,DOWN,0.9960,DOWN,YES,+0.0040,NO,,,,,,NO,,
2026-02-05T00:00:00,BTC15m,UP,0.9550,UP,YES,+0.0450,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.350+prob_dropping:87%,0.8700,-0.0850,,NO,,
2026-02-05T00:30:00,BTC15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T00:45:00,BTC15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T01:00:00,BTC15m,DOWN,0.9750,DOWN,YES,+0.0250,NO,,,,,,NO,,
2026-02-05T01:15:00,BTC15m,UP,0.9650,UP,YES,+0.0350,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.395+prob_dropping:74%,0.7350,-0.2300,,NO,,
2026-02-05T01:30:00,BTC15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T01:45:00,BTC15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T02:15:00,BTC15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T02:30:00,BTC15m,UP,0.9750,UP,YES,+0.0250,NO,,,,,,NO,,
2026-02-05T02:45:00,BTC15m,DOWN,0.9750,DOWN,YES,+0.0250,NO,,,,,,NO,,
2026-02-05T03:15:00,BTC15m,DOWN,0.9500,DOWN,YES,+0.0500,NO,,,,,,NO,,
2026-02-05T03:30:00,BTC15m,UP,0.9850,UP,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T03:45:00,BTC15m,UP,0.9750,UP,YES,+0.0250,NO,,,,,,NO,,
2026-02-05T04:00:00,BTC15m,UP,0.9500,UP,YES,+0.0500,NO,,,,,,NO,,
2026-02-05T04:15:00,BTC15m,UP,0.9850,UP,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T04:30:00,BTC15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T04:45:00,BTC15m,DOWN,0.9850,DOWN,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T05:00:00,BTC15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T05:15:00,BTC15m,UP,0.9750,UP,YES,+0.0250,NO,,,,,,NO,,
2026-02-05T05:45:00,BTC15m,DOWN,0.9750,DOWN,YES,+0.0250,NO,,,,,,NO,,
2026-02-05T06:00:00,BTC15m,UP,0.9850,UP,YES,+0.0150,NO,,,,,,NO,,
2026-02-05T06:15:00,BTC15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T06:30:00,BTC15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T06:45:00,BTC15m,UP,0.9550,UP,YES,+0.0450,YES,EXIT_EMERGENCY,multi_signal(2):imbalance_flip:-0.384+prob_dropping:89%,0.8870,-0.0680,,NO,,
2026-02-05T07:00:00,BTC15m,DOWN,0.9650,DOWN,YES,+0.0350,NO,,,,,,NO,,
2026-02-05T07:15:00,BTC15m,UP,0.9550,UP,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T07:30:00,BTC15m,DOWN,0.9750,DOWN,YES,+0.0250,YES,FLIP,flip:4/5_signals,0.9940,+0.0190,,YES,UP,-0.4970
2026-02-05T07:45:00,BTC15m,DOWN,0.9950,DOWN,YES,+0.0050,NO,,,,,,NO,,
2026-02-05T08:00:00,BTC15m,DOWN,0.9550,DOWN,YES,+0.0450,NO,,,,,,NO,,
2026-02-05T08:15:00,BTC15m,DOWN,0.9750,DOWN,YES,+0.0250,NO,,,,,,NO,,
