19:50:53 INFO  | ============================================================
19:50:53 INFO  | 📈 PAPER TRADING BOT
19:50:53 INFO  | ============================================================
19:50:53 INFO  | Coins: BTC, ETH, SOL, XRP
19:50:53 INFO  | Data: /root/bookpoly/data/raw/books
19:50:53 INFO  | 
19:50:53 INFO  | Parâmetros (docs/LOGICA_BOT.md):
19:50:53 INFO  |   Bankroll: $100
19:50:53 INFO  |   Size/trade: $5 (fixo)
19:50:53 INFO  |   Max trades/dia: 20
19:50:53 INFO  |   Max perda/dia: $25
19:50:53 INFO  |   Max posições: 3
19:50:53 INFO  |   Time Gate: 30s-240s
19:50:53 INFO  |   Spread Gate: ≤10%
19:50:53 INFO  |   Volatility Gate: ≤100%
19:50:53 INFO  |   Min Depth: $300
19:50:53 INFO  |   Forced Entry: prob≥95% + ≤2min
19:50:53 INFO  | ============================================================
19:50:53 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=68.5% zone=neutral score=0.44 | spread=1.5% depth=$72647 vol=42% | persist=0s remain=548s | ○ NO_ENTER
19:50:53 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=50.5% zone=neutral score=0.53 | spread=2.0% depth=$33341 vol=55% | persist=0s remain=548s | ○ NO_ENTER
19:50:53 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=63.5% zone=neutral score=0.39 | spread=1.6% depth=$13378 vol=71% | persist=0s remain=548s | ○ NO_ENTER
19:50:53 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=61.5% zone=neutral score=0.34 | spread=1.6% depth=$11075 vol=51% | persist=0s remain=548s | ○ NO_ENTER
19:50:54 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=68.5% zone=neutral score=0.47 | spread=1.5% depth=$76786 vol=42% | persist=0s remain=547s | ○ NO_ENTER
19:50:54 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=50.5% zone=neutral score=0.53 | spread=2.0% depth=$33503 vol=55% | persist=0s remain=547s | ○ NO_ENTER
19:50:54 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=63.5% zone=neutral score=0.40 | spread=1.6% depth=$13492 vol=71% | persist=0s remain=547s | ○ NO_ENTER
19:50:54 INFO  | [XRP15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=61.5% zone=neutral score=0.34 | spread=1.6% depth=$11061 vol=51% | persist=0s remain=547s | ○ NO_ENTER
19:50:55 INFO  | [BTC15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=68.5% zone=neutral score=0.45 | spread=1.5% depth=$76625 vol=42% | persist=0s remain=546s | ○ NO_ENTER
19:50:55 INFO  | [ETH15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=50.5% zone=neutral score=0.54 | spread=2.0% depth=$33469 vol=55% | persist=0s remain=546s | ○ NO_ENTER
19:50:55 INFO  | [SOL15m] [T:✗L:✓S:✓V:✓N:✓] ALL:✗ | prob=63.5% zone=neutral score=0.41 | spread=1.6% depth=$13691 vol=71% | persist=0s remain=546s | ○ NO_ENTER
